ATD_0,ATD_5,BTP_0,BTP_5,Carrier,Den_atd0,Den_atd5,Den_btp0,Den_btp5,Den_gtp0,Den_gtp5,Den_otp_15,Den_otp_wx,Den_pax,Estacion,GTP_0,GTP_5,Num_atd0,Num_atd5,Num_btp0,Num_btp5,Num_gtp0,Num_gtp5,Num_otp_15,Num_otp_wx,Num_pax,OTP_15,OTP_WX&CTA,PAX
87,92,39,54,N3,64,64,64,64,59,59,64,64,7426,CUN,62,72,56,59,25,35,37,43,57,62,6511,89,96,87
88,90,96,100,N3,50,50,50,50,13,13,50,50,5358,MEX,38,69,44,45,48,50,5,9,48,48,5117,96,96,95
66,73,76,89,N3,378,378,378,378,365,365,378,378,42359,SAL,47,58,251,279,291,338,175,215,337,345,37334,89,91,88
92,94,38,79,N3,39,39,39,39,6,6,39,39,1814,SAP,16,33,36,37,15,31,1,2,39,39,1814,100,100,100
63,69,74,88,Q6,339,339,339,339,232,232,339,339,44815,GUA,45,55,215,236,251,299,105,129,288,306,37754,84,90,84
69,74,47,69,Q6,94,94,94,94,94,94,94,94,11220,LAX,50,68,65,70,45,65,47,64,75,81,8783,79,86,78
69,76,81,91,Q6,169,169,169,169,163,163,169,169,24273,MEX,34,57,118,129,137,155,57,94,141,156,20012,83,92,82
55,62,70,82,Q6,89,89,86,86,75,75,89,89,11388,SAL,65,68,49,56,61,71,49,51,60,65,7737,67,73,67
59,65,68,87,Q6,468,468,467,467,450,450,468,468,59210,SJO,48,64,277,308,322,408,216,292,367,398,46392,78,85,78
57,64,60,77,Y4,1150,1150,1145,1145,1001,1001,1150,1150,163124,BJX,41,59,656,739,688,890,411,593,865,988,119368,75,85,73
67,74,58,74,Y4,4048,4048,4045,4045,3323,3323,4048,4048,628348,CUN,49,66,2735,3015,2372,3026,1658,2224,3276,3540,509880,80,87,81
55,63,53,73,Y4,7720,7720,7717,7717,7252,7252,7720,7720,1154665,GDL,40,62,4267,4875,4133,5668,2947,4509,5628,6320,827229,72,81,71
59,66,77,85,Y4,6608,6608,6608,6608,6361,6361,6608,6608,1117999,MEX,27,46,3944,4409,5097,5675,1731,2928,5370,5994,905324,81,90,80
58,66,75,87,Y4,1390,1390,1387,1387,1229,1229,1390,1390,204664,MTY,34,55,811,925,1048,1214,427,681,1108,1222,160609,79,87,78
48,56,55,74,Y4,7221,7221,7215,7215,6664,6664,7221,7221,1171090,TIJ,39,63,3496,4048,4032,5389,2611,4232,4920,5740,790839,68,79,67
71,77,67,83,N3,838,838,837,837,736,736,838,838,99600,SYSTEM,43,56,597,651,565,703,318,415,739,765,86605,88,91,86
62,69,65,83,Q6,1368,1368,1361,1361,1150,1150,1368,1368,176032,SYSTEM,44,60,860,956,888,1130,517,697,1087,1175,138983,79,85,78
58,66,63,79,Y4,47973,47973,47856,47856,41602,41602,47973,47973,7330368,SYSTEM,39,58,28094,31714,30185,37957,16327,24236,36884,41030,5587703,76,85,76
